Ad Account Name,Campaign name,Delivery status,Delivery level,Reach,Outbound clicks,Outbound type,Result type,Results,Cost per result,Amount spent (AED),CPC (cost per link click),dates
SLU,NOV_Power Course: Jump Start: Emotional Intelligence - Copy,completed,campaign,178775,1695,1210,Website applications submitted,382,2.884346,1101.82,0.646229,01-01-23
RIT,Oct COMPETITION - AI Forensic,completed,campaign,28317,456,340,Website applications submitted,105,2.789143,292.86,0.642237,01-01-23
SLU,Oct COMPETITION: Youth Culture Insight challenge,completed,campaign,45204,522,328,Website applications submitted,124,13.33032,1652.96,3.148495,01-01-23
SLU,Oct. INTERNSHIP: Virtual Internship,completed,campaign,910690,16262,11451,Website applications submitted,2289,5.613486,12849.27,0.788057,01-01-23
Brand Awareness,OCT: FB only_AWARENESS: Excelerate_Video_Ad (with Exclusion) - Copy,completed,campaign,3130793,3708,785,ThruPlay,252450,0.014547,3672.41,0.989335,01-01-23
Brand Awareness,OCT: IG only_AWARENESS: Excelerate_Video_Ad (with Exclusion),completed,campaign,1637784,2386,895,ThruPlay,146223,0.025002,3655.87,1.520745,01-01-23
SLU,Oct_Power Course: Digital Wellness,inactive,campaign,78954,464,248,Website applications submitted,191,8.160052,1558.57,3.351763,01-01-23
SLU,Oct_Power Course: Jump Start: Emotional Intelligence,completed,campaign,347929,2643,1900,Website applications submitted,484,3.983058,1927.8,0.725828,01-01-23
SLU,Podcast Creation Workshop,completed,campaign,33956,359,224,Website leads,125,0.80464,100.58,0.280167,01-01-23
SLU,Power Course: Digital Wellness,completed,campaign,329720,1147,447,Website applications submitted,166,11.08536,1840.17,1.602936,01-01-23
SLU,Power Course: Jump Start: Emotional Intelligence,completed,campaign,234885,2604,1923,Website applications submitted,641,1.446849,927.43,0.354116,01-01-23
SLU,Power Course: Jump Start: Emotional Intelligence - Copy,completed,campaign,535824,5045,3364,Website applications submitted,872,2.945711,2568.66,0.508142,01-01-23
SLU,PROSPECTING: Xperience Design Hackathon - Website LEADS/SIGN UPS,inactive,campaign,36143,181,60,Website leads,3,14.93333,44.8,0.247514,01-01-23
SLU,Resilient Communities Challenge,completed,campaign,72220,1302,868,Website applications submitted,122,2.362295,288.2,0.221012,01-01-23
SLU,Resilient Communities Challenge - JUNE,completed,campaign,192285,3568,2427,Website applications submitted,644,1.145963,738,0.206723,01-01-23
SLU,Sept_Course: CPR course,completed,campaign,148665,2636,1785,Website applications submitted,401,5.495436,2203.67,0.833776,01-01-23
SLU,Sept_Power Course: Digital Wellness,completed,campaign,337329,921,434,Website applications submitted,212,10.38731,2202.11,2.388406,01-01-23
SLU,Storysprint Empower Impactful Narratives 1,inactive,campaign,72339,520,309,Website applications submitted,144,12.74326,1835.03,3.508662,01-01-23
RIT,STRATEGIC CAREER PLANNING: RIT October_Internship,completed,campaign,43508,331,218,Website applications submitted,79,4.644684,366.93,1.10855,01-01-23
SLU,Urban Renew challenge - April - Copy,inactive,campaign,91631,1187,848,Website leads,410,0.709488,290.89,0.244445,01-01-23
SLU,UX Redesign Competition - April,inactive,campaign,145007,2324,1653,Website leads,749,0.814633,610.16,0.261984,01-01-23
SLU,UX Redesign Competition - April - Copy,inactive,campaign,98462,1031,622,Website leads,243,1.23786,300.8,0.291473,01-01-23
RIT,Virtual INTERNSHIP: RIT December_Internship,completed,campaign,105358,1579,1335,Website applications submitted,371,2.374124,880.8,0.557116,01-01-23
RIT,Virtual INTERNSHIP: RIT January 2025_Internship,completed,campaign,126122,1881,1545,Website applications submitted,540,1.699667,917.82,0.486649,01-01-23
RIT,Virtual INTERNSHIP: RIT November_Internship – Copy,completed,campaign,25053,569,461,Website applications submitted,175,1.448171,253.43,0.445395,01-01-23
RIT,Virtual INTERNSHIP: RIT October_Internship,inactive,campaign,187458,1485,1110,Website applications submitted,296,4.963378,1469.16,0.988668,01-01-23
SLU,,completed,campaign,911773,15679,10904,Website applications submitted,2706,5.970588,16156.41,1.026716,01-01-23
