learner_id,country,degree,institution,major
Learner#000e1097-7517-4ada-b050-ce02dab88cb7,India,NULL,NULL,NULL
Learner#1a40a1c6-cbe1-4856-9bf1-115aef029702,Ghana,NULL,NULL,NULL
Learner#000e3bb4-383d-4412-a5a2-e80766179352,Egypt,Undergraduate Student,Seif Hitham Nabil salah,Undergraduate
Learner#000edf3b-3578-4e35-a433-a83fbec11590,India,NULL,NULL,NULL
Learner#000f2502-108d-4636-9fef-0f2b7e17400f,Pakistan,Graduate Student,Air University,Project Management
Learner#000f4b1a-1e10-42b5-a01c-0e7921fb7839,India,NULL,NULL,NULL
Learner#000f7eec-8a2b-4f34-ace5-a4dc0e55d901,Albania,NULL,NULL,NULL
Learner#1437d94c-c972-446d-89f0-49ac46f79f40,United States,High School Student,Saint Louis University,Aerospace Engineering
Learner#000ff2e3-c653-4153-b6d8-3b4dae7f1c2a,Nigeria,Undergraduate Student,University of Lagos,Philosophy
Learner#00108b20-0435-4ad7-9d27-8878f635de24,India,Undergraduate Student,ABES Engineering College,Computer Engineering
Learner#0010fe48-c79f-4791-89fb-5733ee84e49c,United States,NULL,NULL,NULL
Learner#0011305a-76d7-4a74-87f1-68f20e6f8fd9,Nigeria,NULL,NULL,NULL
Learner#0012caf1-83ee-4a25-9f78-71d6fcb18ee6,India,Undergraduate Student,Baikunthi Devi Kanya Mahavidyalaya,Business Administration
Learner#0013408a-dee0-4873-81f7-6e87fab9e59d,South Africa,Other Professional,Speccon Holdings,New Venture Creation
Learner#001345ce-2962-4aa3-95d1-6cc20bbb02df,Nigeria,Not in Education,Nnamdi Azikiwe University,Entrepreneurship
Learner#0013bf09-1a08-4d81-84d6-3945f4ea639c,United States,Undergraduate Student,college of southern nevada,Business Administration
Learner#0013ccec-8f8b-4d04-b9da-ff52dd16c591,Ghana,Not in Education,Sunyani Technical University,Other
Learner#00140b73-0f1a-4d50-a8c5-29c69bf1d5dd,India,Undergraduate Student,Manav rachna international institute of research and studies,Nutrition and Dietetics
Learner#00146496-2245-4aab-931e-a7cfc172f77d,India,NULL,NULL,NULL
Learner#0014a3ce-5f27-46d6-9a4e-953d513eca92,Nigeria,NULL,NULL,NULL
Learner#0015182a-3e78-4986-9c9f-6e1058887ffb,Philippines,Undergraduate Student,MSU-IIT,Nursing
Learner#00151cbd-10e6-46c7-9d3a-6184969a469f,Nigeria,NULL,NULL,NULL
Learner#00156a6d-8ace-483f-a488-f7b6ce65ca0a,Nigeria,NULL,NULL,NULL
Learner#001a7589-f4d1-448c-bf07-1cb1ea599599,United States,NULL,NULL,NULL
Learner#00158f75-51aa-4848-923c-8c8cf3cb98a6,Nigeria,Undergraduate Student,University of Lagos,Health information management
Learner#00159faf-a845-48ea-95e1-ee479421cd3c,Pakistan,High School Student,Superior Group of Colleges,Medicine
Learner#00160dd3-3f36-49c2-94b0-1688297410ea,Nigeria,NULL,NULL,NULL
Learner#00161d02-4c7c-4c7d-8411-83daa7fdaa66,India,Graduate Student,Arti foods company,Food Process Engineering
Learner#001cc2d2-b23b-4aea-a83e-bb92707d8f41,Nigeria,NULL,NULL,NULL
Learner#0016ec78-cbff-4076-8f99-a0e707b1ed97,India,Other Professional,Barunei engineering college,Electrical Engineering
Learner#001838da-4524-41c6-8c8e-ab3e3ecff1f2,India,Graduate Student,Parul university,Computer Applications
Learner#0018d412-f654-4a26-8887-c3c915f815d0,Bangladesh,Undergraduate Student,BUP,Bsc
Learner#00196a32-daac-4d45-9cac-6c5d2e690d6b,Kenya,NULL,NULL,NULL
Learner#0019f0d4-5e8f-4814-9f9c-4bef4f92c053,Nigeria,Undergraduate Student,University of Lagos,Psychology
Learner#001ab193-3622-4f5f-bdc4-705643ac4dda,Kenya,Graduate Student,University of Eldoret,Economics
Learner#001af800-e855-4cbf-87a7-301e27747806,Pakistan,Undergraduate Student,Capital University of Science and Technology Islamabad,Microbiology
Learner#001c3520-ef36-4e4c-b543-513477ff1ef3,Nigeria,Undergraduate Student,Obafemi Awolowo University,Mechanical Engineering
Learner#001c4934-ecc3-4220-b93a-f77598d041ab,India,Undergraduate Student,Anurag University,Computer Science and Engineering
Learner#001ca1f0-3dd7-486c-b4f4-a03197b4891a,Nigeria,Undergraduate Student,Federal Polytechnic Nekede,Agriculture
Learner#001cddb7-faa3-428d-a216-16e14335c0f0,Nigeria,Undergraduate Student,"International university of applied sciences, Germany",Cyber Security
Learner#001d01e1-6ea8-48ee-8a0e-59bb9bf0edd9,Kenya,High School Student,MWAANI SECONDARY SCHOOL,Graphic Design
Learner#001d13c0-1e0f-4edd-847f-e2a046a27f88,India,NULL,NULL,NULL
Learner#001d6ef7-b225-4341-83fa-23116af419c6,India,Undergraduate Student,KAKATIYA INSTITUTE OF TECHNOLOGY AND SCIENCE,Electronics and Instrumentation Engineering
Learner#001dd486-adbd-4f7f-a80b-24d3aa413e37,Egypt,NULL,NULL,NULL
Learner#001e09f6-5c3a-4969-8601-7b465af0f2cf,Nigeria,NULL,NULL,NULL
Learner#001e12a4-5174-4603-acd0-d226737c0cac,Egypt,Graduate Student,Egypt University of Informatics,Art and Design
Learner#001f2fe2-6250-43df-87f4-cfc8299a50a4,Ghana,NULL,NULL,NULL
Learner#001ff515-6a9a-42be-95aa-9d91d53d92cc,Nigeria,Graduate Student,Enugu state university of science and technology,Microbiology
Learner#00201c32-1166-4ac9-864d-921b1274e1ce,Bangladesh,Teacher/Educator,Rabeya Model Academy,English
Learner#002083d4-4f7c-41db-b59c-bb70ccc4c93f,Ghana,NULL,NULL,NULL
Learner#0021bca8-df16-4f75-8d12-38c641dd301f,Kenya,NULL,NULL,NULL
Learner#00236d22-3268-43d2-b780-e586e78e88ea,India,NULL,NULL,NULL
Learner#0023af45-8745-401a-8b33-2d6de2b7a258,Ghana,Not in Education,UDS,Human Resources
Learner#00240062-2b9e-4f3c-8974-a9c930d03566,India,High School Student,Anand commerce college,Java Programming
Learner#0026834a-f204-42a5-827d-9a1f029c93d5,India,NULL,NULL,NULL
Learner#0027adc9-0a17-48a0-bcba-3099aa4f17ee,Nigeria,Undergraduate Student,Rivers State University,Medicine
Learner#0027cbe7-b7a4-467b-b58b-6c20c00e6372,Nigeria,Graduate Student,Quantum Analytics,Data Analytics
Learner#0028c6e6-20b4-4af7-8bfc-b78c3cb334eb,Kenya,Not in Education,Kairi boys,Marketing
Learner#002905d9-b68b-4754-8c80-19aa590fde04,Philippines,Not in Education,Polytechnic University of the Philippines - Sto. Tomas,Electronics and Communication
Learner#00294cc0-ec96-4ca8-a418-f6e7a4c5b10d,Ghana,High School Student,Bompeh Senior high technical school,Aerospace Engineering
Learner#002a3785-8fef-4fef-9f85-5bbe17454620,India,NULL,NULL,NULL
Learner#002a6b3e-23ba-4ecd-a08c-3383999d813a,Egypt,NULL,NULL,NULL
Learner#002a7d71-e532-4bdf-8779-bc98a7925792,India,Undergraduate Student,Aryans group of college,Computer Science and Information Systems
Learner#002accfb-a522-40b0-bbb8-d442b1f457aa,United States,Graduate Student,Grand Canyon University,Cybersecurity
Learner#1eef792a-e021-4451-ad30-7487f284a1df,India,NULL,NULL,NULL
Learner#002bb43f-4b18-432f-a295-034170ece3da,Poland,Graduate Student,"SWPS University, Wroclaw, Poland",Psychology
Learner#002bcb56-e53e-4f64-bdd5-9a6e10f5192c,Egypt,NULL,NULL,NULL
Learner#002c5ac8-6ba5-430f-bd07-6647848e1767,Nigeria,NULL,NULL,NULL
Learner#002c5ee0-8bd1-4ce2-9cb8-a0e0b0f592e2,Nigeria,Graduate Student,Rivers State University,Mass Communication
Learner#002c6227-035d-4fee-a485-cb51029a3c5b,United States,Graduate Student,Sphoorthy Engineering college,Information Systems
Learner#002c75b7-7545-45ed-a8fd-5cc692f13ce1,Egypt,Graduate Student,Ain Shams university,Electrical Engineering
Learner#002c8d1a-e64c-48e7-a7f5-8086bfa498ee,India,NULL,NULL,NULL
Learner#002c97fc-67cf-4731-80cc-75a99144f7d3,Nigeria,Undergraduate Student,College of Health Technology,Environmental Health
Learner#002cc3e7-3bde-45bb-b827-086cbaffa09e,Nigeria,NULL,NULL,NULL
Learner#002d734e-2a34-4fe2-9117-0e10a558d76a,India,NULL,NULL,NULL
Learner#002edf00-8dba-499c-a7ba-2e8b0b79c3d9,India,Graduate Student,Manonmaniam Sundaranar University,Bachelor of Commerce
Learner#00302c0c-749b-4c03-aa9b-22d71ce05b83,Ghana,NULL,NULL,NULL
Learner#0031b92e-5c72-4e08-8f2f-a74be42138f1,United States,Graduate Student,St Louis University,Applied Financial Economics
Learner#00328c47-ae60-4c39-9560-ed645425a574,India,Graduate Student,Loyola Academy,Bachelor of Science in Computer Science
Learner#0032a17c-63a6-465a-b9ec-1abb2cfb9699,India,Undergraduate Student,Avanthi Institute of Engineering and Technology,Computer Science and Engineering
Learner#00331d28-497a-4792-9f2e-55df3f854873,India,NULL,NULL,NULL
Learner#00333275-9bc4-4462-b4c0-b5058ae1f92c,Nigeria,Undergraduate Student,"University of Nigeria, Nsukka",Law and Legal Studies
Learner#0033db8a-3c69-4114-b22d-5d6f47be56a4,India,Graduate Student,Jagannath University,Business Administration
Learner#0033dc07-9c92-46a5-b8bd-d224c3e6d27b,Pakistan,NULL,NULL,NULL
Learner#00341883-7b70-4f7d-ba1d-0c3a10d97087,India,Undergraduate Student,Aditya college of engineering and technology,Data Science
Learner#003426b6-e1dd-4fd9-b3fb-d5b2f09a8201,Pakistan,NULL,NULL,NULL
Learner#00345f46-a3cf-4131-9951-828ac9387e2b,Pakistan,Undergraduate Student,Capital University of Science and Technology,Business Administration
Learner#0036f1af-1227-4168-9590-94e8d848e0c1,South Africa,NULL,NULL,NULL
Learner#0036fe49-777d-4de7-8388-a9f4afae4cad,India,Undergraduate Student,Institute of Management Studies,Data Science
Learner#00381590-41d0-406e-8e9e-e51e8776199e,Kenya,Graduate Student,Kimathi,Chemical Engineering
Learner#00387b7e-19f9-4670-af1e-ee931c72a9d0,Nigeria,NULL,NULL,NULL
Learner#0179e3c1-1241-4fc6-911f-8098a979f369,United States,NULL,NULL,NULL
Learner#0038ea5d-f951-446d-9bc3-f6f0081bff14,India,Graduate Student,Avc college of engineering,Electronics and Communication
Learner#003931e6-a888-4166-9754-789136d03c65,Kenya,Undergraduate Student,Masinde Muliro University,Digital Marketing
Learner#003abd07-b7d6-4db8-874e-7f55664265b1,Morocco,Undergraduate Student,UIZ,Marketing
Learner#003b122f-0ec5-42e9-b6cc-8016fed3f9c0,Bangladesh,NULL,NULL,NULL
Learner#003f8bfc-3fb3-4e3b-9d90-478ba502889f,Pakistan,NULL,NULL,NULL
Learner#003b2c0f-4b22-48a0-bb62-da93a66018cb,India,Graduate Student,Bharath institute of higher education and research,Economics and Finance
Learner#003cd65d-997c-4653-bb61-59b6a0571974,Pakistan,NULL,NULL,NULL
Learner#003d3cee-df6d-47ec-82c1-c03cef61799c,India,Graduate Student,taxila business school,Finance
Learner#003d761f-0887-40a4-a15f-a15873063aec,Kenya,NULL,NULL,NULL
Learner#003dfeba-2aae-4f06-a9a7-c68f1a13d0ff,South Africa,Undergraduate Student,Boston Media House,Diploma in Media Practices Majored in Public Relations
Learner#003dff60-0c13-4096-a68a-9c5033ab41b8,Vietnam,Undergraduate Student,Vinuni,Electrical Engineering
Learner#003e3965-d62b-4827-9675-1eac49a6387e,Nigeria,Not in Education,University of Calabar,Law and Legal Studies
Learner#003f5c08-94b0-4316-9853-445f131efb8d,Ghana,NULL,NULL,NULL
Learner#00533224-f188-4ce3-80f2-e68f0df2f6f5,Nigeria,NULL,NULL,NULL
Learner#003fb488-e2d4-42c4-9a3d-b127aa10f656,Egypt,Graduate Student,Hti,Biomedical Engineering
Learner#003fdf9d-ae9a-40fc-b1a2-39663cbed50e,Vietnam,Undergraduate Student,FPT University Can Tho,Software Engineering
Learner#0041ef91-9251-4fa7-8d4e-3962553dc201,Nigeria,NULL,NULL,NULL
Learner#00424aff-c799-4cc7-bc7d-3d3624858596,India,NULL,NULL,NULL
Learner#0043b6e7-9108-4877-9f59-6f8a1d82bfc6,Nigeria,NULL,NULL,NULL
Learner#0044e5c4-342f-4771-9887-3cc07253c776,Pakistan,Undergraduate Student,CUST,Biotechnology
Learner#00466442-277c-43c0-9446-3d38517b4204,Ghana,Undergraduate Student,Kwame Nkrumah University of Science and Technology,Food Science
Learner#004831d4-4839-4476-a80b-35bab9490f2e,Nigeria,Graduate Student,Federal University of Technology Akure,Software Engineering
Learner#0048a607-ac4b-4270-a421-a13bff6876c0,India,NULL,NULL,NULL
Learner#0052d504-c2de-49bc-ac04-34342bb76d81,Pakistan,Graduate Student,Institute of physical Medical and Rehabilitation (KMU),Physical Therapy
Learner#004975e0-e2c2-41d6-8527-34b1a6765ada,Nigeria,Undergraduate Student,"University Of Nigeria, Nsukka",Geophysics
Learner#0049929a-793d-4e3a-904e-43447bb62817,India,Graduate Student,Saint Louis University,Information Systems
Learner#004b14df-849b-4d28-b514-e4b70abe8bb2,Nigeria,High School Student,Technical college,Architectural Engineering
Learner#004b2c34-0957-4009-a4a6-cbc612480f42,Pakistan,Graduate Student,Abbottabad university,Linguistics
Learner#0052e1d8-e097-4941-b47b-460f9f1514ca,India,Undergraduate Student,Sandip University Nashik,Computer Science and Engineering
Learner#004b51d8-0062-41a9-a797-c66ec2481c4d,Nigeria,Graduate Student,Nile University of Nigeria,Law and Legal Studies
Learner#004b8a25-17d4-4e9a-a41b-b5336327e170,Pakistan,Undergraduate Student,Nwihs,Radiology
Learner#004c4f9b-c31c-42eb-b896-2f2460155f15,Nigeria,NULL,NULL,NULL
Learner#004d140a-7a20-4abf-a555-c854cfb5d151,Nigeria,Graduate Student,Federal Polytechnic Oko Anambra State Nigeria,Ignatius Ajuru University
Learner#004e4057-c3c2-4049-8c01-a9199b09b91a,India,Undergraduate Student,Sgsits,Pharmacy and Pharmacology
Learner#004e44d9-aa9d-482e-a57a-ea9ce8282ee9,India,Undergraduate Student,G.Narayanamma Institute of Technology and Science for women,Electronics and Communication Engineering
Learner#004e7272-4f98-43e7-8433-11b730342c4e,India,Undergraduate Student,Drs. Kiran and Pallavi Patel Global University (KPGU),CSE
Learner#004eeb14-2ed3-492b-ae79-d5dd445a2e5f,South Africa,Graduate Student,SACAP,Psychology
Learner#004f9e9d-a667-4c55-af97-de440d6ccb00,India,Undergraduate Student,S.i.v.e.t,BCA
Learner#004fa68c-461f-4999-8ba5-289b073b30b2,Nigeria,NULL,NULL,NULL
Learner#027c249f-e38a-44ae-adc4-d1f560e5e9ee,India,NULL,NULL,NULL
Learner#00500dd4-9028-474b-9f26-82e744c569f3,Nigeria,Graduate Student,Georg August Universitaet,Soil Science and Technology
Learner#00508de3-9a46-4385-86c2-25b72536dc49,India,Graduate Student,Vivekananda Global University,Computer Science and Engineering
Learner#0051ccb5-91ac-41fd-8689-733944ab21f2,Philippines,NULL,NULL,NULL
Learner#0051cd7c-c9fa-48f7-9f4a-b13563893fe8,Egypt,Undergraduate Student,Cairo University,Art and Design
Learner#0054897b-b399-4ced-a9d2-fa6968a600fa,Nigeria,NULL,NULL,NULL
Learner#00551c35-1bd7-4292-ba07-3e3a618f6dc0,United States,Graduate Student,Saint Louis University,Information Systems
Learner#0055b5e7-18b7-4a1a-956d-0d5925f2fddf,Egypt,Undergraduate Student,Ain Shams University,Web Development
Learner#0055c1ab-5dcf-4951-abec-df566c77f04d,India,Undergraduate Student,Merchant Engineering College basna,Electrical and Electronic Engineering
Learner#00590ac1-2988-48a1-a028-e0222f827251,India,NULL,NULL,NULL
Learner#0056ce42-dd5b-4e6e-a5e7-f46e6eacd7b8,Pakistan,Undergraduate Student,University of Karachi - UBIT,Bachelor of Science in Computer Science
Learner#00570323-7998-461d-899d-4ecebddc5d76,Nigeria,Not in Education,University of calabar,Human Physiology
Learner#00572276-aa86-4cc8-a473-075531dfe465,Nigeria,NULL,NULL,NULL
Learner#0057f57c-fcb9-4add-8110-57d36552d17f,Ghana,Undergraduate Student,University of Memphis,Computer Science
Learner#00580ef6-901c-4530-930a-e9bffa856cec,Kenya,Graduate Student,Unicaf University,Healthcare Management
Learner#00597700-aac6-49a4-b0da-2210e8c73267,Nigeria,NULL,NULL,NULL
Learner#0059ac4c-d399-41e8-b679-41634722934e,India,Undergraduate Student,Kumaraguru college of Technology,Computer Engineering
Learner#0059b7da-ee9e-413a-889b-7f23343478ba,NULL,NULL,NULL,NULL
Learner#0059bb0a-d4b1-450f-a84d-74c7747f3224,United States,NULL,NULL,NULL
Learner#0059cd0d-c6d1-4a0e-a793-7b105609aaeb,Nigeria,NULL,NULL,NULL
Learner#00640f61-481e-44cd-99b3-a3eafd743ecc,India,NULL,NULL,NULL
Learner#0059ea9e-3aac-4826-84a1-eeee19e20eac,South Africa,Not in Education,TSIBA Business School,Entrepreneurship
Learner#005a03cc-5fb1-48a3-8751-fe580aecbba6,Nigeria,Undergraduate Student,"Ladoke Akintola University Of Technology, Ogbomoso, Oyo, Oyo state",Digital Marketing
Learner#005a2082-fc78-44f6-a10b-b34192fb8b70,India,NULL,NULL,NULL
Learner#005b00f9-0c1b-41bb-b95c-bc3e7d223064,NULL,NULL,NULL,NULL
Learner#005bace8-afac-4ec2-a14a-828f64a5bbbe,Bangladesh,Undergraduate Student,National University,Mathematics
Learner#005bb9c6-9e74-474f-8fc2-4a493bcdad0a,Nigeria,NULL,NULL,NULL
Learner#005c8af0-9d91-41d0-8cc9-8983d257729a,India,Undergraduate Student,Savitribai Phule Pune University,Artificial Intelligence and Data Science
Learner#005ccf77-5900-4c08-ba8a-c0268f7caf25,India,NULL,NULL,NULL
Learner#005d7275-e48c-4fe2-b985-257475b3ce5e,Ghana,NULL,NULL,NULL
Learner#005ea580-eec8-4c91-a1fa-e655f182e3d4,Philippines,Undergraduate Student,Tarlac State University,Information Technology
Learner#00638018-de2b-4f11-977d-21bbc24eac9a,South Africa,NULL,NULL,NULL
Learner#005ef3ac-9652-4ade-87c0-c5c909f70526,Pakistan,Undergraduate Student,iiui,Sociology
Learner#0061b502-4f5e-480f-a4c1-c22c197aa9b0,India,NULL,NULL,NULL
Learner#00628747-9775-4a85-a179-4d5007ccb8b7,India,Graduate Student,SAINT LOUIS,Information Systems
Learner#0062b191-85f9-457a-a2b0-0e931ecbeba1,Bangladesh,NULL,NULL,NULL
Learner#00638f95-c0b4-47fb-b401-d05ce5f1386c,India,Graduate Student,Firebird institute,MBA
Learner#00639af3-ed1d-46e8-bdb2-d3128da64fa0,Nigeria,NULL,NULL,NULL
Learner#0063ae85-c3e2-4306-bf19-54c8712d8f50,Nepal,Undergraduate Student,Tribhuvan University,Computer Science
Learner#0063f853-3aaa-4696-8e0c-fd0d170fbc87,Nigeria,NULL,NULL,NULL
Learner#00640180-d33d-4196-b9ad-048616307127,Nigeria,Undergraduate Student,University of Lagos,Economics
Learner#0064a8cf-a62d-42a6-b6d3-7f71289cb385,Kenya,Undergraduate Student,African Leadership University,Computer Science
Learner#00652abf-4b30-4a91-a821-9781d905694c,United States,NULL,NULL,NULL
Learner#00657e3c-c38d-48bf-8b7f-51e3867d77e2,India,Undergraduate Student,SRMIST,Biomedical Engineering
Learner#0065f558-73c6-42d3-a941-dc2c3ce5576b,Kenya,NULL,NULL,NULL
Learner#00664739-f658-478d-8e6c-4d3d5e15e668,Pakistan,NULL,NULL,NULL
Learner#006648f4-2874-42b9-aa9e-5e4c5ed9c478,South Africa,Undergraduate Student,University of south Africa,Economics
Learner#00683ef1-b1fe-42f9-bda7-dafc97a47124,Nigeria,NULL,NULL,NULL
Learner#0068896e-34b8-4653-907b-53edd9004cc5,Pakistan,NULL,NULL,NULL
Learner#0069074d-15c9-42a7-b5ff-baa1750db55d,India,Not in Education,SRMVCAS,Computer Applications
Learner#00698239-9512-4144-817e-1000d05a2cfb,Pakistan,Undergraduate Student,University of The Punjab,Biotechnology
Learner#006aebe3-9a5c-4d72-a836-7fd1a0b475f3,NULL,NULL,NULL,NULL
Learner#006b41ce-9d85-46ed-952e-0e2adcb6b33c,Nigeria,Graduate Student,Elrazi University,Medicine
Learner#006c52c2-76db-43bf-a60c-d3cec4c3629d,Pakistan,NULL,NULL,NULL
Learner#006cc200-8a2a-4450-ba54-48f8c3859768,India,NULL,NULL,NULL
Learner#006d0ed6-ed3c-44e6-bee4-96ac9a0374f1,India,Graduate Student,JNTUH,Information technology Management
Learner#006e4681-940b-4f8c-9316-1f0406428f17,India,Graduate Student,MGM%27s JNEC Sambhajinagar Aurangabad,Civil Engineering
Learner#006f6457-a665-4754-98ee-db18da217446,Bangladesh,NULL,NULL,NULL
Learner#0070f072-63bc-4de5-af95-15489ee52ed0,Pakistan,Undergraduate Student,Qims,MBBS
Learner#0071b826-34a4-48ad-bde7-2716e2e7874f,United States,Graduate Student,Saint Louis University,Health Data Science
Learner#00722b4e-91b3-4adf-82a1-85ab3932449e,Nigeria,Graduate Student,University of port Harcourt,Anthropolometry
Learner#00728a84-55c8-47cb-9424-b14f08ba7cd7,United States,High School Student,Piedmont Hills High School,Computer Science and Information Systems
Learner#007345c2-fefc-435a-a5e7-2b98f75a25f1,Nigeria,Graduate Student,Akwa Ibom State University,Customer Service
Learner#00744443-9260-4b26-adf7-0eaa96de75ec,Nigeria,NULL,NULL,NULL
Learner#00746755-e0de-4d80-ad58-e230833af10e,India,NULL,NULL,NULL
Learner#0074bf67-0983-4b46-a676-eebccf48c2e0,South Africa,Undergraduate Student,University of South Africa,Public Relations
Learner#0075efc4-b85f-43d1-8ce2-2bece90ee3e7,India,Undergraduate Student,KSR College of Arts and Science,Computer Applications
Learner#0077b6a6-e9eb-4360-b9c1-ce763529b1fa,India,NULL,NULL,NULL
Learner#00783bb2-de6e-4230-95d4-dc13f17ec362,NULL,NULL,NULL,NULL
Learner#0078ce24-2d05-4cab-a908-09f705894fad,India,Graduate Student,Saint Louis University,Information Systems
Learner#0079144d-f9ed-4501-a737-2b2b5c71616c,India,Graduate Student,Nehru Institute of Engineering and Technology,Computer Science and Engineering
Learner#0079c1ff-a838-4cb7-950f-30f17e3c966c,Ghana,NULL,NULL,NULL
Learner#0079d401-fabc-4426-9155-c85335c453b4,India,Graduate Student,Singhad College of Engineering,Finance
Learner#007a038a-7c64-4fab-8241-093406e6f7e6,India,Graduate Student,Balaji institute of technology and science,Information Systems
Learner#007aede9-df75-473f-93e4-f575ea25ee16,Nigeria,NULL,NULL,NULL
Learner#007b42f1-d8bb-435a-8349-4114a7e93837,India,Undergraduate Student,SGRR PG COLLEGE,Fresher
Learner#036a9189-c559-415c-9d09-9e1de5daf174,Nepal,Not in Education,Kathmandu Engineering College,Computer Engineering
Learner#007c0dbf-93b4-4144-b93b-22e3f1ceb4ed,Philippines,NULL,NULL,NULL
Learner#007ca074-879a-48a8-9970-21ff27c7ea82,Nigeria,NULL,NULL,NULL
Learner#007cd662-28f8-46b2-91d9-f7844168b4a7,India,Not in Education,Guru gobind singh educational society%27s technical campus,Marketing
Learner#007cf80e-212a-48e5-beae-93039e65e3d9,Ghana,Other Professional,KNUST,Applied Mathematics
Learner#007de212-0808-4438-9273-e20dd69149a0,Pakistan,Graduate Student,National University of Computer and Emerging Sciences,Computer Science
Learner#036abcb1-ccdd-443a-ab27-817ed9ea9b90,United States,NULL,NULL,NULL
Learner#007e6fb3-4a9e-4f08-b539-92481667a1bc,India,Not in Education,"D. Y. Patil Collage of Engineering And Technology, Kolhapur",Mechanical Engineering
Learner#007ebef7-982c-4a4d-a25c-5b7ece93e848,South Africa,NULL,NULL,NULL
Learner#008078c7-98e6-4b98-82bb-c39fcd290879,India,Undergraduate Student,Lords Institute of Engineering and Technology,Bachelor of Science in Computer Science
Learner#00813ba3-68ac-4507-9541-010f40a77aef,Nigeria,Undergraduate Student,University of Lagos,Religion and Philosop
Learner#0081e5ff-9ef5-4779-8904-3cbfe48072a1,India,NULL,NULL,NULL
Learner#0082d77b-3746-41a4-97fc-fc32b6dca1af,United States,Undergraduate Student,Wilbur Wright College,Mechanical Engineering
Learner#00831ab2-eff1-4375-ba66-af07ddf7b0b2,India,NULL,NULL,NULL
Learner#008334a0-a352-4a48-a535-aea2a507017f,Nigeria,Not in Education,Crawford University,Computer Science
Learner#00839095-cdaf-4b63-8b39-6ec247117ab0,Nigeria,Graduate Student,"Michael okpara university of agriculture, umudike",Accountancy
Learner#00841155-6c62-4f83-b165-57ba0df9c031,United States,Undergraduate Student,Illinois Institute of Technology,Computer Science
Learner#00848af5-283f-4d81-a361-5cf8fee6a8cf,India,NULL,NULL,NULL
Learner#0084da9d-368c-4726-8199-5b3ba470cb7a,Nigeria,Undergraduate Student,Usmanudanfodiyo sokoto,Degree
Learner#0084fa26-883d-4b00-b08a-89ff1451d686,Nigeria,Graduate Student,Saint Louis University Missouri,Theology or Divinity and Religious Studies
Learner#008570de-e3b5-437e-aeff-fa92592d79d2,Nigeria,NULL,NULL,NULL
Learner#008811c3-f529-4702-823d-cef8ca3e0ebf,United States,NULL,NULL,NULL
Learner#0086a1e2-ad53-4a05-84fc-6eeac6d0ca99,South Africa,Other Professional,Eskom,Business Management
